OBJECTID_1,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Num_Counties,County_NUM_1,County_NUM_2,Month
19934,20553,2017,CA,USF,KNF,DEEP,4527,9/7/2017 0:00,9/7/2017 0:00,1,,101,101.3670273,3,1,,1,47,47,9
19935,20554,2017,CA,USF,KNF,FOURTH,6685,9/7/2017 0:00,11/13/2017 0:00,1,CONT_DATE  based on FIRESTAT Fire Out Date/Time,12.9,24.3170013,3,1,,1,47,47,9
19939,20558,2017,CA,USF,KNF,LITTLE BUCK,6729,9/7/2017 0:00,10/10/2017 0:00,1,CONT_DATE est from Inciweb/IRWIN - Eclipse Complex,113,113.9624863,3,1,,1,47,47,9
20071,20690,2017,CA,NPS,YNP,RATTKESNAKE,125,9/7/2017 0:00,9/15/2017 0:00,10,,0,14.9941788,1,1,125,1,22,22,9
19816,20435,2017,CA,BLM,NOD,R-2 BUTTE WELL,5384,9/6/2017 0:00,9/11/2017 0:00,1,,0,17.387989,1,1,,1,18,18,9
19829,20448,2017,CA,BLM,CND,HILL,2577,9/6/2017 0:00,9/6/2017 0:00,2,,0,9.9132223,1,1,,1,15,15,9
19870,20489,2017,CA,USF,TNF,RANCH,1270,9/6/2017 0:00,9/7/2017 0:00,1,,83.6,83.5128479,1,1,,1,32,32,9
19708,20327,2017,CA,CDF,LNU,MULE,9729,9/5/2017 0:00,9/6/2017 0:00,14,,60,21.2668743,2,1,,1,17,17,9
19923,20542,2017,CA,USF,PNF,EUREKA,1488,9/5/2017 0:00,11/15/2017 0:00,1,,450,446.1814575,6,1,,1,32,32,9
19576,20195,2017,CA,CDF,SKU,DEER ONE,6570,9/4/2017 0:00,9/4/2017 0:00,14,,0.24,0.2580093,1,1,,1,47,47,9
19540,20159,2017,CA,CDF,SLU,MARGARITA,10107,9/3/2017 0:00,9/3/2017 0:00,10,,120,69.7100449,7,1,,1,40,40,9
19588,20207,2017,CA,CDF,SCU,BALLY,6586,9/3/2017 0:00,9/6/2017 0:00,14,,20,109.1914673,1,1,,1,43,43,9
19680,20299,2017,CA,CDF,MMU,PEAK,18116,9/3/2017 0:00,9/9/2017 0:00,10,,,677.8926392,1,1,,1,22,22,9
19682,20301,2017,CA,CDF,MMU,MISSION,18115,9/3/2017 0:00,9/13/2017 0:00,11, ,,988.4674683,1,1,,1,20,20,9
19846,20465,2017,CA,CDF,FKU,PARKFIELD,13003,9/3/2017 0:00,9/5/2017 0:00,2,,,70.2234802,1,1,,1,10,10,9
19872,20491,2017,CA,USF,STF,CREEK ,2590,9/3/2017 0:00,9/12/2017 0:00,1,CONT_DATE  based on FIRESTAT Fire Out Date/Time,1609,1747.8695068,1,1,,1,55,55,9
19922,20541,2017,CA,USF,PNF,MILLS,1435,9/3/2017 0:00,9/4/2017 0:00,9,,79,75.3485641,6,1,,1,32,32,9
19611,20230,2017,CA,CDF,RRU,PALMER,108660,9/2/2017 0:00,9/6/2017 0:00,9,,3874,3872.1518555,2,1,,2,33,36,9
19626,20245,2017,CA,CCO,ORC, ,17096358,9/2/2017 0:00,9/2/2017 0:00,14,,,5.4437113,1,1,,1,30,30,9
19575,20194,2017,CA,CDF,SKU,MARBLE,6502,9/1/2017 0:00,9/1/2017 0:00,2,,0.37,0.3712338,1,1,,1,47,47,9
19677,20296,2017,CA,CDF,MVU,BORDER 6,19648,9/1/2017 0:00,9/3/2017 0:00,14, ,130,135.0444183,1,1,,1,37,37,9
